pl_name,spec_type,authors,reference_url,num_datapoints,instrument,facility,minwavelng,maxwavelng,mintranmid,maxtranmid,note,bibcode,spec_path
TOI-270 c,Transmission,Edwards et al. 2023,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141,2023ApJS..269...31E,38/01/42/03/TOI_270_c_3.12405_5286_54.tbl
TOI-270 d,Transmission,Edwards et al. 2023,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141,2023ApJS..269...31E,25/90/64/46/TOI_270_d_3.12406_5286_55.tbl
TOI-674 b,Transmission,Edwards et al. 2023,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141,2023ApJS..269...31E,39/35/10/18/TOI_674_b_3.12737_5286_56.tbl
V1298 Tau b,Transmission,Edwards et al. 2023,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141,2023ApJS..269...31E,22/70/33/53/V1298_Tau_b_3.12385_5286_59.tbl
TrES-4 b,Transmission,Edwards et al. 2023,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141,2023ApJS..269...31E,33/19/18/62/TrES_4_b_3.11432_5286_58.tbl
TrES-2 b,Transmission,Edwards et al. 2023,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141,2023ApJS..269...31E,23/87/24/41/TrES_2_b_3.237_5286_57.tbl
V1298 Tau c,Transmission,Edwards et al. 2023,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141,2023ApJS..269...31E,79/43/94/88/V1298_Tau_c_3.12450_5286_60.tbl
WASP-107 b,Transmission,Edwards et al. 2023,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141,2023ApJS..269...31E,94/19/58/76/WASP_107_b_3.12045_5286_62.tbl
WASP-121 b,Transmission,Edwards et al. 2023,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141,2023ApJS..269...31E,44/61/69/14/WASP_121_b_3.11900_5286_63.tbl
WASP-178 b,Transmission,Edwards et al. 2023,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6295,,,G141,2023ApJS..269...31E,11/22/27/48/WASP_178_b_3.12435_5286_64.tbl
