kepid,kepoi_name,TCE_ID,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_model_snr,koi_score,fpp_prob,astrophysical_planet_probability,astrophysical_planet_probability_label,observed_tce_disposition,observed_tce_mes,published_comparison_box,robovetter_score_is_candidate_reliability,false_alarm_reliability,total_candidate_reliability,reliability_status
9674320,K07223.01,009674320-01,CANDIDATE,CANDIDATE,317.062416,0.002425,-0.002425,1.59,0.27,-0.12,9.8,0.947,0.14,0.86,MODEL-INFERRED,PC,10.3247,False,False,,,pending_validated_smooth_false_alarm_model
3629119,K08242.01,003629119-01,CANDIDATE,CANDIDATE,331.55459,0.01384,-0.01384,1.36,0.32,-0.11,6.7,0.175,0.0094,0.9906,MODEL-INFERRED,PC,7.1282,True,False,,,pending_validated_smooth_false_alarm_model
8555967,K07894.01,008555967-01,CANDIDATE,CANDIDATE,347.97611,0.01268,-0.01268,1.62,0.49,-0.15,11.9,0.837,0.014,0.986,MODEL-INFERRED,PC,8.5435,False,False,,,pending_validated_smooth_false_alarm_model
7219825,K00238.03,007219825-02,CANDIDATE,CANDIDATE,362.97828,0.01599,-0.01599,1.96,0.33,-0.29,13,0.784,0.017,0.983,MODEL-INFERRED,PC,11.8663,False,False,,,pending_validated_smooth_false_alarm_model
9650762,K07954.01,009650762-01,CANDIDATE,CANDIDATE,372.15035,0.02752,-0.02752,1.74,0.46,-0.14,12.3,0.839,0.0065,0.9935,MODEL-INFERRED,PC,8.9062,False,False,,,pending_validated_smooth_false_alarm_model
9210820,K07930.01,009210820-01,CANDIDATE,CANDIDATE,377.67241,0.01947,-0.01947,1.37,0.11,-0.11,10.2,0.469,0.019,0.981,MODEL-INFERRED,PC,8.0038,True,False,,,pending_validated_smooth_false_alarm_model
11296205,K08048.01,011296205-01,CANDIDATE,CANDIDATE,379.67276,0.02319,-0.02319,1.33,0.36,-0.11,7.9,0.334,0.013,0.987,MODEL-INFERRED,PC,7.22,True,False,,,pending_validated_smooth_false_alarm_model
8311864,K07016.01,008311864-01,CONFIRMED,CANDIDATE,384.847556,0.007105,-0.007105,1.09,0.2,-0.1,12.3,0.771,0.0086,0.9914,MODEL-INFERRED,PC,7.6024,True,False,,,pending_validated_smooth_false_alarm_model
9084569,K07923.01,009084569-02,CANDIDATE,CANDIDATE,395.13138,0.02017,-0.02017,0.97,0.12,-0.1,14.4,0.75,0.54,0.46,MODEL-INFERRED,PC,10.0291,True,False,,,pending_validated_smooth_false_alarm_model
5098334,K08253.01,005098334-01,CANDIDATE,CANDIDATE,400.11482,0.04988,-0.04988,0.95,0.13,-0.04,6.7,0.067,0.023,0.977,MODEL-INFERRED,PC,7.8577,True,False,,,pending_validated_smooth_false_alarm_model
5956171,K08259.01,005956171-01,CANDIDATE,CANDIDATE,402.27493,0.02267,-0.02267,1.73,0.52,-0.18,11.1,0.311,0.021,0.979,MODEL-INFERRED,PC,7.4788,False,False,,,pending_validated_smooth_false_alarm_model
4742188,K07703.01,004742188-01,CANDIDATE,CANDIDATE,413.51856,0.01904,-0.01904,1.96,0.61,-0.22,7.9,0.255,0.011,0.989,MODEL-INFERRED,PC,7.3555,False,False,,,pending_validated_smooth_false_alarm_model
2284957,K08085.01,002284957-01,CANDIDATE,CANDIDATE,419.2615,0.02931,-0.02931,1.7,0.46,-0.31,10.1,0.416,0.027,0.973,MODEL-INFERRED,PC,7.8587,False,False,,,pending_validated_smooth_false_alarm_model
4446859,K08246.01,004446859-01,CANDIDATE,CANDIDATE,425.64971,0.02019,-0.02019,1.58,0.45,-0.37,7.6,0.228,0.011,0.989,MODEL-INFERRED,PC,7.1563,False,False,,,pending_validated_smooth_false_alarm_model
8022520,K08272.01,008022520-01,CANDIDATE,CANDIDATE,432.42787,0.03739,-0.03739,1.14,0.37,-0.13,6,0.12,0.017,0.983,MODEL-INFERRED,PC,7.6195,True,False,,,pending_validated_smooth_false_alarm_model
9650579,K07953.01,009650579-01,CANDIDATE,CANDIDATE,432.96905,0.04634,-0.04634,1.43,0.33,-0.12,8.1,0.335,0.23,0.77,MODEL-INFERRED,PC,7.3161,True,False,,,pending_validated_smooth_false_alarm_model
3548044,K02194.03,003548044-03,CANDIDATE,CANDIDATE,445.21685,0.01812,-0.01812,1.37,0.18,-0.18,11.1,0.496,0.046,0.954,MODEL-INFERRED,PC,7.934,True,False,,,pending_validated_smooth_false_alarm_model
5097856,K07716.01,005097856-01,CANDIDATE,CANDIDATE,483.36405,0.04975,-0.04975,1.27,0.25,-0.1,8.3,0.23,0.0085,0.9915,MODEL-INFERRED,PC,7.1057,True,False,,,pending_validated_smooth_false_alarm_model
