period_days,planet_radius_earth,target_stars,mean_transit_geometry,mean_phase_window,mean_pipeline_including_window,mean_vetting_given_recovered,mean_pipeline_and_vetting,mean_total_selection,effective_stars,fraction_impact_target_evaluations_below_mes_training,fraction_impact_target_evaluations_above_mes_training,label
79.2446596231,0.707106781187,114105,0.0121933795112,0.955269097857,0.00738034358666,0.175502956353,0.00639677983782,7.41451401366e-05,8.46033121529,3.56562677617e-05,0,MODEL-INFERRED
88.9139705019,0.707106781187,114105,0.0112925171245,0.946455578881,0.00637617848219,0.165907092187,0.00551852929282,5.90209381915e-05,6.73458415235,3.56562677617e-05,0,MODEL-INFERRED
99.7631157484,0.707106781187,114105,0.0104582115968,0.941663514956,0.00544508755399,0.155129298208,0.00470031799674,4.63857483018e-05,5.29284580997,3.87917813481e-05,0,MODEL-INFERRED
111.936056928,0.707106781187,114105,0.00968554562249,0.937980127602,0.00459624885805,0.143451537476,0.00395221129075,3.59881013533e-05,4.10642230492,3.98299781189e-05,0,MODEL-INFERRED
125.594321575,0.707106781187,114105,0.00896996519314,0.935844124974,0.00383565488748,0.130074819599,0.00327510749036,2.75133232183e-05,3.13940774582,3.98299781189e-05,0,MODEL-INFERRED
140.919146563,0.707106781187,114105,0.00830725275603,0.933272582355,0.00316561270967,0.116714451447,0.0026809447048,2.0773382821e-05,2.37034684679,4.19063716604e-05,0,MODEL-INFERRED
158.113883008,0.707106781187,114105,0.00769350235666,0.93004485155,0.00258391657629,0.103471059104,0.0021672842124,1.54843025587e-05,1.76683634346,4.43992023378e-05,0,MODEL-INFERRED
177.406694617,0.707106781187,114105,0.0071250966174,0.926004353283,0.00208585421193,0.0905487357024,0.00172984042939,1.13905400624e-05,1.29971757382,4.43992023378e-05,0,MODEL-INFERRED
199.053585277,0.707106781187,114105,0.0065986854171,0.919767369993,0.00166528028393,0.0781570829034,0.00136302673882,8.26823506288e-06,0.94344696185,4.89684265567e-05,0,MODEL-INFERRED
223.341796075,0.707106781187,114105,0.00611116614581,0.909806396412,0.00131533195384,0.0665095621141,0.00106043519754,5.9237608634e-06,0.675930733318,5.21039401431e-05,0,MODEL-INFERRED
250.593616814,0.707106781187,114105,0.00565966541834,0.895237874828,0.00102840075613,0.0558023922993,0.000814999755391,4.19103904366e-06,0.478218510077,5.73158472711e-05,0,MODEL-INFERRED
281.170662595,0.707106781187,114105,0.00524152213887,0.872007338015,0.000796029727592,0.0461194800098,0.000618593428166,2.92748660525e-06,0.334040859092,6.04513608575e-05,0,MODEL-INFERRED
315.47867224,0.707106781187,114105,0.00485427181671,0.831351860655,0.000609977003435,0.0374857821196,0.000463245236301,2.01706350645e-06,0.230157031404,6.46459944888e-05,0,MODEL-INFERRED
