kepid,kepoi_name,TCE_ID,koi_disposition,koi_pdisposition,koi_period,koi_prad,observed_tce_mes,koi_score,fpp_prob,astrophysical_planet_probability,false_alarm_reliability_p025,false_alarm_reliability_p50,false_alarm_reliability_p975,total_candidate_reliability_p025,total_candidate_reliability_p50,total_candidate_reliability_p975,published_comparison_box,robovetter_score_is_candidate_reliability,reliability_status,false_alarm_reliability_label,total_candidate_reliability_label
7888863,K05440.01,007888863-01,CANDIDATE,CANDIDATE,74.624063,1.75,9.4414,0.716,0.0045,0.9955,0.841214487,0.9290826048,0.9706790771,0.8374290218,0.9249017331,0.9663110213,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
2854698,K00986.02,002854698-02,CONFIRMED,CANDIDATE,76.0498163,1.75,12.8004,0.881,0.0054,0.9946,0.9628833939,0.9902577699,0.9975747088,0.9576838235,0.9849103779,0.9921878054,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
12266099,K08077.01,012266099-01,CANDIDATE,CANDIDATE,77.177672,1.29,7.2295,0.34,0.43,0.57,0.4502925702,0.6846365848,0.8580111776,0.256666765,0.3902428534,0.4890663712,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
8409295,K03404.01,008409295-01,CONFIRMED,CANDIDATE,82.292865,1.82,11.7531,0.993,0.00085,0.99915,0.9408485892,0.9795787349,0.9932564429,0.9400488679,0.9787460929,0.9924121749,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
9282853,K05651.01,009282853-01,CANDIDATE,CANDIDATE,83.499618,1.72,11.8832,0.643,0.22,0.78,0.9425788957,0.9804239262,0.9935939498,0.7352115387,0.7647306625,0.7750032808,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
7429287,K04260.04,007429287-04,CANDIDATE,CANDIDATE,84.799829,1.16,7.9636,0.971,0.87,0.13,0.5942679724,0.7662046391,0.8824528555,0.07725483641,0.09960660308,0.1147188712,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
10160922,K07990.01,010160922-01,CANDIDATE,CANDIDATE,87.487573,1.87,7.8486,0.789,0.013,0.987,0.5598870352,0.737759054,0.8644087647,0.5526085037,0.7281681863,0.8531714508,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
5088536,K00282.03,005088536-03,CONFIRMED,CANDIDATE,87.5177787,1.85,10.865,0.894,0.54,0.46,0.9077771417,0.9610514301,0.9843027054,0.4175774852,0.4420836578,0.4527792445,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
4742420,K06120.01,004742420-01,CANDIDATE,CANDIDATE,90.097375,1.7,9.2464,0.997,0.037,0.963,0.7879785685,0.8858804597,0.9423058551,0.7588233615,0.8531028827,0.9074405384,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
9881662,K00327.02,009881662-02,CONFIRMED,CANDIDATE,91.3514816,1.57,15.7533,1,9.8e-05,0.999902,0.9762967974,0.9953181786,0.9991110744,0.9762011203,0.9952206374,0.9990131615,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
12121570,K02290.01,012121570-01,CONFIRMED,CANDIDATE,91.500873,1.82,18.6613,0.97,0.00029,0.99971,0.9770940209,0.9971416743,0.9996516331,0.9768106636,0.9968525032,0.9993617341,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
6268648,K01613.02,006268648-02,CANDIDATE,CANDIDATE,94.094392,0.9,8.987,1,0.011,0.989,0.7444816498,0.8558092376,0.9236982339,0.7362923517,0.846395336,0.9135375534,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
4912650,K05098.01,004912650-01,CANDIDATE,CANDIDATE,100.345648,1.57,10.7829,0.923,0.015,0.985,0.8849743887,0.9475502372,0.977209308,0.8716997729,0.9333369837,0.9625511684,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
10026502,K04706.01,010026502-01,CONFIRMED,CANDIDATE,101.952048,1.31,10.029,0.665,0.0039,0.9961,0.8335190878,0.914853857,0.9586356823,0.8302683634,0.9112859269,0.9548970031,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
6387557,K05279.01,006387557-01,CANDIDATE,CANDIDATE,103.722152,1.95,7.9219,0.765,0.011,0.989,0.5157638686,0.6878360403,0.8238049587,0.5100904661,0.6802698438,0.8147431042,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
